名称,型号,一级类别,二级类别,价格,性能特点,产品描述,代表厂家,
 test0, test0, test0, test0, test0, test0, test0, test0,
 test1, test1, test1, test1, test1, test1, test1, test1,
 test2, test2, test2, test2, test2, test2, test2, test2,
 test3, test3, test3, test3, test3, test3, test3, test3,
 test4, test4, test4, test4, test4, test4, test4, test4,
 test5, test5, test5, test5, test5, test5, test5, test5,
 test6, test6, test6, test6, test6, test6, test6, test6,
 test7, test7, test7, test7, test7, test7, test7, test7,
 test8, test8, test8, test8, test8, test8, test8, test8,
 test9, test9, test9, test9, test9, test9, test9, test9,
